book_id,genre
14337,Christian Fiction
14337,Christian
14337,Fiction
14337,Religion
14337,Christianity
14337,Faith
14337,Inspirational
34744357,Mystery
34744357,Crime
34744357,Noir
34744357,Fiction
56649,Fiction
56649,Thriller
56649,Romance
36402034,Science Fiction
36402034,Fiction
36402034,Classics
36402034,Dystopia
248760,Horror
248760,Fiction
248760,Thriller
248760,Fantasy
248760,Media Tie In
248760,Movies
248760,Mystery
815854,Historical
815854,Historical Fiction
815854,Fiction
815854,Cultural
815854,China
815854,War
815854,Classics
815854,Military Fiction
3722073,Fiction
3722073,Novels
100237,Classics
100237,Fiction
100237,Cultural
100237,China
100237,Fantasy
100237,Mythology
444304,Fantasy
444304,Childrens
444304,Middle Grade
444304,Fiction
444304,Young Adult
9717,Fiction
9717,Classics
9717,Philosophy
9717,Literature
9717,Novels
9717,European Literature
9717,Czech Literature
4339930,Mystery
4339930,Fiction
4339930,Thriller
4339930,Mystery Thriller
4339930,Crime
543300,Horror
543300,Classics
543300,Fiction
543300,Fantasy
543300,Gothic
882053,Westerns
882053,Fiction
882053,Historical
882053,Historical Fiction
12194,Classics
12194,Fiction
12194,Literature
12194,Adventure
1005680,Mystery
1005680,Childrens
1005680,Fiction
1005680,Animals
1005680,Classics
1005680,Fantasy
1005680,Middle Grade
1005680,Adventure
1005680,Juvenile
1005680,Historical
598662,Fiction
598662,Historical
598662,Historical Fiction
598662,Contemporary
11487449,Mystery
11487449,Crime
29543,Fiction
29543,Science Fiction
29543,Fantasy
18839,Classics
18839,Fiction
18839,Fantasy
18839,Historical
18839,Historical Fiction
18839,Lgbt
22034,Fiction
22034,Classics
22034,Mystery
22034,Crime
22034,Thriller
22034,Historical
22034,Historical Fiction
903730,Humor
903730,Fiction
1542991,Classics
1542991,Fiction
1542991,Cultural
1542991,Portugal
1542991,European Literature
1542991,Portuguese Literature
1964904,Fiction
1964904,European Literature
1964904,Dutch Literature
1964904,Historical
1964904,Historical Fiction
1964904,Classics
1964904,Literature
174216,Fiction
174216,Classics
174216,Cultural
174216,India
174216,Literature
174216,Asian Literature
174216,Indian Literature
83090,Fiction
83090,European Literature
83090,Spanish Literature
1025049,Fiction
1025049,Mystery
861099,Fiction
861099,Thriller
861099,War
861099,Military Fiction
