,BookTitle,BookYear,Author,FilmTitle,FilmYear,full name,tmdb_id
3226,White Dog,1970,Romain Gary,White Dog,1982,White Dog 1982,47955
3227,White Fang,1906,Jack London,White Fang,1925,White Fang 1925,0
3228,White Fang,1906,Jack London,White Fang,1936,White Fang 1936,297152
3229,White Fang,1906,Jack London,White Fang,1946,White Fang 1946,0
3230,White Fang,1906,Jack London,White Fang,1973,White Fang 1973,58061
3231,White Fang,1906,Jack London,The Return of White Fang,1974,The Return of White Fang 1974,0
3232,White Fang,1906,Jack London,White Fang to the Rescue,1974,White Fang to the Rescue 1974,106145
3233,White Fang,1906,Jack London,White Fang and the Gold Diggers,1974,White Fang and the Gold Diggers 1974,0
3234,White Fang,1906,Jack London,White Fang and the Hunter,1975,White Fang and the Hunter 1975,158013
3235,White Fang,1906,Jack London,White Fang,1991,White Fang 1991,12227
3236,White Fang,1906,Jack London,White Fang,1991,White Fang 1991,12227
3237,White Fang,1906,Jack London,White Fang 2: Myth of the White Wolf,1994,White Fang 2: Myth of the White Wolf 1994,43643
3238,White Fang,1906,Jack London,White Fang,1997,White Fang 1997,323072
3239,White Shark,1994,Peter Benchley,Creature,1998,Creature 1998,0
3240,The White Ship,1975,Donald G. Payne,The White Ship,1976,The White Ship 1976,263830
3241,The White Stallions of Vienna,1963,Alois Podhajsky,Miracle of the White Stallions,1963,Miracle of the White Stallions 1963,58019
3242,White Jazz,1992,James Ellroy,White Jazz,2012,White Jazz 2012,0
3243,Who?,1958,Algis Budrys,Who?,1973,Who? 1973,0
3244,Who Censored Roger Rabbit?,1981,Gary K. Wolf,Who Framed Roger Rabbit,1988,Who Framed Roger Rabbit 1988,856
3245,Who Lie in Gaol,1952,Joan Henry,The Weak and the Wicked,1953,The Weak and the Wicked 1953,0
3246,Who Rides with Wyatt,1955,Henry Wilson Allen,Young Billy Young,1969,Young Billy Young 1969,39295
3247,Why Me?,1983,Donald E. Westlake,Why Me?,1990,Why Me? 1990,142946
3248,Wicked Water,1949,MacKinlay Kantor,Wicked Water,1953,Wicked Water 1953,0
3249,Wide Sargasso Sea,1966,Jean Rhys,Wide Sargasso Sea,1993,Wide Sargasso Sea 1993,41667
3250,A Widow for One Year,1998,John Irving,The Door in the Floor,2004,The Door in the Floor 2004,1944
3251,Wild Horse Mesa,1928,Zane Grey,Wild Horse Mesa,1925,Wild Horse Mesa 1925,459346
3252,Wild Horse Mesa,1928,Zane Grey,Wild Horse Mesa,1932,Wild Horse Mesa 1932,159296
3253,Wild Horse Mesa,1928,Zane Grey,Wild Horse Mesa,1947,Wild Horse Mesa 1947,182254
3254,Wild Justice,1979,Wilbur Smith,Wild Justice,0,Wild Justice 0,0
3255,Wild Justice,1979,Wilbur Smith,Covert Assassin,1993,Covert Assassin 1993,0
3256,The Willing Flesh,1955,Willi Heinrich,Cross of Iron,1977,Cross of Iron 1977,10839
3257,Wilt,1976,Tom Sharpe,Wilt,1989,Wilt 1989,44561
3258,The Wind in the Willows,1908,Kenneth Grahame,The Adventures of Ichabod and Mr. Toad,1949,The Adventures of Ichabod and Mr. Toad 1949,13465
3259,The Wind in the Willows,1908,Kenneth Grahame,The Wind in the Willows,1983,The Wind in the Willows 1983,38782
3260,The Wind in the Willows,1908,Kenneth Grahame,The Wind in the Willows: A Tale of Two Toads,1989,The Wind in the Willows: A Tale of Two Toads 1989,0
3261,The Wind in the Willows,1908,Kenneth Grahame,The Wind in the Willows,1987,The Wind in the Willows 1987,75523
3262,The Wind in the Willows,1908,Kenneth Grahame,The Wind in the Willows,1995,The Wind in the Willows 1995,59178
3263,The Wind in the Willows,1908,Kenneth Grahame,The Willows in Winter,1996,The Willows in Winter 1996,0
3264,The Wind in the Willows,1908,Kenneth Grahame,The Wind in the Willows,1996,The Wind in the Willows 1996,47168
3265,The Wind in the Willows,1908,Kenneth Grahame,The Wind in the Willows,2006,The Wind in the Willows 2006,36602
3266,The Wind in the Willows,1908,Kenneth Grahame,The Wind in the Willows,2012,The Wind in the Willows 2012,0
3267,The Wings of the Dove,1902,Henry James,The Wings of the Dove,1981,The Wings of the Dove 1981,0
3268,The Wings of the Dove,1902,Henry James,The Wings of the Dove,1997,The Wings of the Dove 1997,0
3269,Winnie-the-Pooh,1928,0,Disney's Winnie the Pooh,1977,Disney's Winnie the Pooh 1977,0
3270,Winnie-the-Pooh,1928,0,The Many Adventures of Winnie the Pooh,1977,The Many Adventures of Winnie the Pooh 1977,250480
3271,Winnie-the-Pooh,1928,0,Winnie the Pooh and Friends,1985,Winnie the Pooh and Friends 1985,0
3272,Winnie-the-Pooh,1928,0,Pooh's Grand Adventure: The Search for Christopher Robin,1997,Pooh's Grand Adventure: The Search for Christopher Robin 1997,14903
3273,Winnie-the-Pooh,1928,0,Winnie the Pooh: Seasons of Giving,1999,Winnie the Pooh: Seasons of Giving 1999,261339
3274,Winnie-the-Pooh,1928,0,The Tigger Movie,2000,The Tigger Movie 2000,15655
3275,Winnie-the-Pooh,1928,0,Winnie the Pooh: A Very Merry Pooh Year,2002,Winnie the Pooh: A Very Merry Pooh Year 2002,13706
3276,Winnie-the-Pooh,1928,0,Piglet's Big Movie,2003,Piglet's Big Movie 2003,13691
3277,Winnie-the-Pooh,1928,0,Winnie the Pooh: Springtime with Roo,2004,Winnie the Pooh: Springtime with Roo 2004,16394
3278,Winnie-the-Pooh,1928,0,Pooh's Heffalump Movie,2005,Pooh's Heffalump Movie 2005,13682
3279,Winnie-the-Pooh,1928,0,Pooh's Heffalump Halloween Movie,2005,Pooh's Heffalump Halloween Movie 2005,14885
3280,Winnie-the-Pooh,1928,0,My Friends Tigger and Pooh: Super Sleuth Christmas Movie,2007,My Friends Tigger and Pooh: Super Sleuth Christmas Movie 2007,0
3281,Winnie-the-Pooh,1928,0,Tigger and Pooh and a Musical Too,2009,Tigger and Pooh and a Musical Too 2009,0
3282,Winnie-the-Pooh,1928,0,Winnie the Pooh,2011,Winnie the Pooh 2011,51162
3283,Winter Meeting,1946,Grace Zaring Stone,Winter Meeting,1948,Winter Meeting 1948,43457
3284,Winter's Bone,2006,Daniel Woodrell,Winter's Bone,2010,Winter's Bone 2010,39013
3285,The Winter of Our Discontent,1961,John Steinbeck,The Winter of Our Discontent,1983,The Winter of Our Discontent 1983,358139
3286,Wise Blood,1952,Flannery O'Connor,Wise Blood,1979,Wise Blood 1979,42179
3287,The Witches,1983,Roald Dahl,The Witches,1990,The Witches 1990,10166
3288,The Witches of Eastwick,1984,John Updike,The Witches of Eastwick,1987,The Witches of Eastwick 1987,6069
3289,Witchfinder General,1966,Ronald Bassett,Witchfinder General,1968,Witchfinder General 1968,31965
3290,Witch's Milk,1968,Peter De Vries,Pete 'n' Tillie,1972,Pete 'n' Tillie 1972,107774
3291,with a Perfect Stranger,2006,0,The Perfect Stranger,2005,The Perfect Stranger 2005,46003
3292,with a Perfect Stranger,2006,0,The Perfect Stranger,2005,The Perfect Stranger 2005,46003
3293,with a Perfect Stranger,2006,0,Another Perfect Stranger,2007,Another Perfect Stranger 2007,46013
3294,with a Perfect Stranger,2006,0,The Perfect Gift,2009,The Perfect Gift 2009,113093
3295,The Witnesses,1971,0,The Bedroom Window,1987,The Bedroom Window 1987,39074
3296,Woe to Live On,1987,Daniel Woodrell,Ride with the Devil,1999,Ride with the Devil 1999,22267
3297,Woe to Live On,1987,Daniel Woodrell,Ride with the Devil,1999,Ride with the Devil 1999,419311
3298,The Wolfen,1978,Whitley Strieber,Wolfen,1981,Wolfen 1981,10725
3299,The Woman Chaser,1960,Charles Willeford,The Woman Chaser,1999,The Woman Chaser 1999,28666
3300,The Woman in Black,1983,Susan Hill,The Woman in Black,1989,The Woman in Black 1989,16182
3301,The Woman in Black,1983,Susan Hill,The Woman in Black,2012,The Woman in Black 2012,65086
3302,The Woman in White,1859,Wilkie Collins,The Woman in White,1912,The Woman in White 1912,0
3303,The Woman in White,1859,Wilkie Collins,The Woman in White,1912,The Woman in White 1912,0
3304,The Woman in White,1859,Wilkie Collins,The Woman in White,1917,The Woman in White 1917,174727
3305,The Woman in White,1859,Wilkie Collins,The Woman in White,1929,The Woman in White 1929,0
3306,The Woman in White,1859,Wilkie Collins,Crimes at the Dark House,1940,Crimes at the Dark House 1940,87907
3307,The Woman in White,1859,Wilkie Collins,The Woman in White,1948,The Woman in White 1948,37300
3308,The Woman in White,1859,Wilkie Collins,The Woman in Black,1982,The Woman in Black 1982,0
3309,The Woman in White,1859,Wilkie Collins,Zhenshchina v belom,1982,Zhenshchina v belom 1982,0
3310,"Woman, Thou Art Loosed!: Healings the Wounds of the Past",1993,T. D. Jakes,Woman Thou Art Loosed,2004,Woman Thou Art Loosed 2004,44634
3311,Woman Wanted,1984,Joanna McClelland Glass,Woman Wanted,2000,Woman Wanted 2000,0
3312,Women in Love,1920,D. H. Lawrence,Women in Love,1969,Women in Love 1969,66027
3313,The Women of Brewster Place,1982,Gloria Naylor,The Women of Brewster Place,1989,The Women of Brewster Place 1989,128578
3314,Wonder Boys,1995,Michael Chabon,Wonder Boys,2000,Wonder Boys 2000,11004
3315,The Wonderful Country,1952,"Thomas C. Lea, III",The Wonderful Country,1952,The Wonderful Country 1952,0
3316,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Fairylogue and Radio-Plays,1908,The Fairylogue and Radio-Plays 1908,470664
3317,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wonderful Wizard of Oz,1910,The Wonderful Wizard of Oz 1910,0
3318,The Wonderful Wizard of Oz,1900,L. Frank Baum,Dorothy and the Scarecrow in Oz,1910,Dorothy and the Scarecrow in Oz 1910,0
3319,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Land of Oz,1910,The Land of Oz 1910,0
3320,The Wonderful Wizard of Oz,1900,L. Frank Baum,John Dough and the Cherub,1910,John Dough and the Cherub 1910,0
3321,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Patchwork Girl of Oz,1914,The Patchwork Girl of Oz 1914,74827
3322,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Magic Cloak of Oz,1914,The Magic Cloak of Oz 1914,56181
3323,The Wonderful Wizard of Oz,1900,L. Frank Baum,"His Majesty, the Scarecrow of Oz",1914,"His Majesty, the Scarecrow of Oz 1914",62935
3324,The Wonderful Wizard of Oz,1900,L. Frank Baum,Wizard of Oz,1925,Wizard of Oz 1925,0
3325,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wizard of Oz,1933,The Wizard of Oz 1933,62937
3326,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wizard of Oz,1939,The Wizard of Oz 1939,630
3327,The Wonderful Wizard of Oz,1900,L. Frank Baum,Return to Oz,1964,Return to Oz 1964,0
3328,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wizard of Mars,1965,The Wizard of Mars 1965,53442
3329,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wonderful Land of Oz,1969,The Wonderful Land of Oz 1969,126488
3330,The Wonderful Wizard of Oz,1900,L. Frank Baum,Ayşecik ve Sihirli Cüceler Rüyalar Ülkesinde,1971,Ayşecik ve Sihirli Cüceler Rüyalar Ülkesinde 1971,0
3331,The Wonderful Wizard of Oz,1900,L. Frank Baum,Hunter,1973,Hunter 1973,0
3332,The Wonderful Wizard of Oz,1900,L. Frank Baum,Zardoz,1974,Zardoz 1974,4923
3333,The Wonderful Wizard of Oz,1900,L. Frank Baum,Journey Back to Oz,1974,Journey Back to Oz 1974,187542
3334,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wonderful Wizard of Oz,1975,The Wonderful Wizard of Oz 1975,0
3335,The Wonderful Wizard of Oz,1900,L. Frank Baum,Oz,1976,Oz 1976,51560
3336,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wiz,1978,The Wiz 1978,24961
3337,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wizard of Oz,1982,The Wizard of Oz 1982,222960
3338,The Wonderful Wizard of Oz,1900,L. Frank Baum,Return to Oz,1985,Return to Oz 1985,13155
3339,The Wonderful Wizard of Oz,1900,L. Frank Baum,Dorothy Meets Ozma of Oz,1987,Dorothy Meets Ozma of Oz 1987,0
3340,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wizard of A.I.D.S.,1987,The Wizard of A.I.D.S. 1987,0
3341,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wonderful Galaxy of Oz,1990,The Wonderful Galaxy of Oz 1990,0
3342,The Wonderful Wizard of Oz,1900,L. Frank Baum,Lion of Oz,2000,Lion of Oz 2000,146499
3343,The Wonderful Wizard of Oz,1900,L. Frank Baum,Lost in Oz,2002,Lost in Oz 2002,319784
3344,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Muppets' Wizard of Oz,2005,The Muppets' Wizard of Oz 2005,20910
3345,The Wonderful Wizard of Oz,1900,L. Frank Baum,Tin Man,2007,Tin Man 2007,0
3346,The Wonderful Wizard of Oz,1900,L. Frank Baum,Tom and Jerry and the Wizard of Oz,2011,Tom and Jerry and the Wizard of Oz 2011,0
3347,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wonderful Wizard of Oz,2011,The Wonderful Wizard of Oz 2011,0
3348,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Witches of Oz,2011,The Witches of Oz 2011,570125
3349,The Wonderful Wizard of Oz,1900,L. Frank Baum,Dorothy of Oz,2012,Dorothy of Oz 2012,0
3350,The World According to Garp,1978,John Irving,The World According to Garp,1982,The World According to Garp 1982,11307
3351,The World in His Arms,1946,Rex Beach,The World in His Arms,1952,The World in His Arms 1952,74436
3352,The World of Henry Orient,1956,Nora Johnson,The World of Henry Orient,1964,The World of Henry Orient 1964,19662
3353,The Wreck of the Mary Deare,1956,Hammond Innes,The Wreck of the Mary Deare,1959,The Wreck of the Mary Deare 1959,114618
3354,The Wrong Box,1889,Robert Louis Stevenson,The Wrong Box,1966,The Wrong Box 1966,62143
3355,Wuthering Heights,1847,Emily Brontë,Wuthering Heights,1939,Wuthering Heights 1939,3084
3356,Wuthering Heights,1847,Emily Brontë,Abismos de Pasión,1954,Abismos de Pasión 1954,0
3357,Wuthering Heights,1847,Emily Brontë,Wuthering Heights,1970,Wuthering Heights 1970,98491
3358,Wuthering Heights,1847,Emily Brontë,Emily Brontë's Wuthering Heights,1992,Emily Brontë's Wuthering Heights 1992,0
3359,Wuthering Heights,1847,Emily Brontë,Wuthering Heights,2003,Wuthering Heights 2003,165569
3360,The Warriors,1965,Sol Yurick,The Warriors,1979,The Warriors 1979,11474
3361,Yaju no seishun,1959,0,Youth of the Beast,1963,Youth of the Beast 1963,37939
3362,The Year of Living Dangerously,1978,Christopher Koch,The Year of Living Dangerously,1982,The Year of Living Dangerously 1982,11541
3363,The Year of the Angry Rabbit,1964,Russell Braddon,Night of the Lepus,1972,Night of the Lepus 1972,38761
3364,The Year of the Horse,1965,Eric S. Hatch,The Horse in the Gray Flannel Suit,1968,The Horse in the Gray Flannel Suit 1968,0
3365,Yellowstone Kelly,1958,Henry Wilson Allen,Yellowstone Kelly,1959,Yellowstone Kelly 1959,72160
3366,Les yeux sans visage,1959,0,Eyes Without a Face,1960,Eyes Without a Face 1960,31417
3367,Yield to the Night,1954,Joan Henry,Yield to the Night,1956,Yield to the Night 1956,20806
3368,"Yo, Puta",2003,Isabel Pisano,Whore,2004,Whore 2004,0
3369,You Only Live Twice,1964,Ian Fleming,You Only Live Twice,1967,You Only Live Twice 1967,667
3370,You're Best Alone,1943,Norah Lofts,Guilt Is My Shadow,1950,Guilt Is My Shadow 1950,87340
3371,Your Ticket Is No Longer Valid,1977,Romain Gary,Your Ticket Is No Longer Valid,1981,Your Ticket Is No Longer Valid 1981,112588
3372,Young Adam,1957,Alexander Trocchi,Young Adam,2003,Young Adam 2003,237
3373,Young Man of Manhattan,1930,Katharine Brush,Young Man of Manhattan,1930,Young Man of Manhattan 1930,198227
3374,Young Man with a Horn,1938,Dorothy Baker,Young Man with a Horn,1950,Young Man with a Horn 1950,34623
3375,De Zaak Alzheimer,2000,Jef Geeraerts,De Zaak Alzheimer,0,De Zaak Alzheimer 0,0
3376,De Zaak Alzheimer,2000,Jef Geeraerts,The Alzheimer Case,2003,The Alzheimer Case 2003,0
3377,The Story of Zarak Khan,1949,0,Zarak,1956,Zarak 1956,227878
3378,Zathura,2002,Chris Van Allsburg,Zathura,2005,Zathura 2005,0
3379,Zazie in the Metro,1959,Raymond Queneau,Zazie in the Metro,0,Zazie in the Metro 0,0
3380,Zazie in the Metro,1959,Raymond Queneau,Zazie dans le Métro,1960,Zazie dans le Métro 1960,2546
3381,De Zesde Mei,2003,Tomas Ross,06/05,2003,06/05 2003,0
3382,Zona Zamfirova,1906,0,Zona Zamfirova,2002,Zona Zamfirova 2002,0
3383,Zorba the Greek,1946,Nikos Kazantzakis,Zorba the Greek,1964,Zorba the Greek 1964,10604
3384,Zuqāq al-Midaq,1947,Naguib Mahfouz,El callejón de los milagros,1994,El callejón de los milagros 1994,0
3385,0,0,0,0,0,The Alphabet Murders 1965,6026
3386,0,0,0,0,0,The Assault 2010,59145
3387,0,0,0,0,0,The Assault 2014,295237
3388,0,0,0,0,0,The Assault 1996,149552
3389,0,0,0,0,0,Adam Resurrected 2008,18516
3390,0,0,0,0,0,Abandon 2010,557857
3391,0,0,0,0,0,Paper Moon 2013,212164
3392,0,0,0,0,0,Paper Moon 1949,564139
3393,0,0,0,0,0,The Adventurers 2017,452551
3394,0,0,0,0,0,The Adventurers 2014,268763
3395,0,0,0,0,0,The Adventurers 1995,45435
3396,0,0,0,0,0,The Adventurers 2012,152869
3397,0,0,0,0,0,The Adventures of Huckleberry Finn 2012,151474
3398,0,0,0,0,0,The Adventures of Huckleberry Finn 1991,462950
3399,0,0,0,0,0,Hopelessly Lost 1973,27923
3400,0,0,0,0,0,Adventures of Huckleberry Finn 1986,15479
3401,0,0,0,0,0,Tom and Huck 2012,126897
3402,0,0,0,0,0,The Adventures of Pinocchio 1972,58451
3403,0,0,0,0,0,The Adventures of Pinocchio 1947,489447
3404,0,0,0,0,0,The Adventures of Pinocchio 1988,266906
3405,0,0,0,0,0,Pinocchio 2012,136619
3406,0,0,0,0,0,Pinocchio 1970,413518
3407,0,0,0,0,0,Pinocchio 1970,200596
3408,0,0,0,0,0,Pinocchio 2015,365851
3409,0,0,0,0,0,Pinocchio 2013,246790
3410,0,0,0,0,0,Pinocchio 1984,423030
3411,0,0,0,0,0,Pinocchio 2021,555604
3412,0,0,0,0,0,Pinocchio 1971,28779
3413,0,0,0,0,0,Tom Sawyer 2011,104711
3414,0,0,0,0,0,The Adventures of Tom Sawyer 1968,465587
3415,0,0,0,0,0,The Adventures of Tom Sawyer 1986,326893
3416,0,0,0,0,0,Aelita 1980,478254
3417,0,0,0,0,0,Goodbye Again 1933,239093
3418,0,0,0,0,0,Airborn 1968,326106
3419,0,0,0,0,0,Airport 1994,466118
3420,0,0,0,0,0,Airport 2017,467672
3421,0,0,0,0,0,Airport 1993,462144
3422,0,0,0,0,0,Airport 1975 1974,27932
3423,0,0,0,0,0,Allan Quatermain and the Lost City of Gold 1986,9710
3424,0,0,0,0,0,All Fall Down 2009,163850
3425,0,0,0,0,0,All Fall Down 2014,265932
3426,0,0,0,0,0,All Fall Down 1993,466257
3427,0,0,0,0,0,All the King's Men 1999,53253
3428,0,0,0,0,0,All the King's Men 1983,252319
3429,0,0,0,0,0,Sex Drive 2003,112039
3430,0,0,0,0,0,Almayer's Folly 2013,201895
3431,0,0,0,0,0,Along Came a Spider 1970,252708
3432,0,0,0,0,0,A Place in the Sun 1994,336317
3433,0,0,0,0,0,A Place in the Sun 1959,243195
3434,0,0,0,0,0,A Place in the Sun 2012,118513
3435,0,0,0,0,0,Intervista 1998,335078
3436,0,0,0,0,0,Amerika 2000,429968
3437,0,0,0,0,0,Amerika 2015,350082
3438,0,0,0,0,0,Amerika 1983,559609
3439,0,0,0,0,0,Amerika 1996,183589
3440,0,0,0,0,0,Ten Little Indians 1987,4885
3441,0,0,0,0,0,Ten Little Indians 1974,4883
3442,0,0,0,0,0,Ten Little Indians 1968,387131
3443,0,0,0,0,0,Gumnaam 2008,443950
3444,0,0,0,0,0,Zehn kleine Negerlein 1992,534534
3445,0,0,0,0,0,Identity 1986,464099
3446,0,0,0,0,0,Identity 2009,554130
3447,0,0,0,0,0,Identity 2012,356228
3448,0,0,0,0,0,Angel 1984,1803
3449,0,0,0,0,0,Angel 2017,461092
3450,0,0,0,0,0,Angel Square 1991,325047
3451,0,0,0,0,0,Animal Farm 1970,539745
3452,0,0,0,0,0,The King and I 2018,545292
3453,0,0,0,0,0,Anna and the King 1997,116927
3454,0,0,0,0,0,Anna Karenina 2009,150772
3455,0,0,0,0,0,Anna Karenina 1920,466667
3456,0,0,0,0,0,Anna Karenina 1911,438581
3457,0,0,0,0,0,Anna Karenina 1918,227710
3458,0,0,0,0,0,Anna Karenina 1961,281786
3459,0,0,0,0,0,Anna Karenina 1976,380370
3460,0,0,0,0,0,Love 2011,54320
3461,0,0,0,0,0,Love 2015,292431
3462,0,0,0,0,0,River of Love 1971,533311
3463,0,0,0,0,0,Anne of Green Gables 2016,397520
3464,0,0,0,0,0,Anne of Green Gables: A New Beginning 2008,44576
3465,0,0,0,0,0,Antonieta 2016,417493
3466,0,0,0,0,0,Appointment with Death 2009,266481
3467,0,0,0,0,0,Appointment with Death 1989,422298
3468,0,0,0,0,0,Buck Rogers 1977,3787
3469,0,0,0,0,0,Buck Rogers in the 25th Century 1934,3785
3470,0,0,0,0,0,Elevator to the Gallows 2010,226261
3471,0,0,0,0,0,The Badlanders 1958,94533
3472,0,0,0,0,0,Asylum 1972,25993
3473,0,0,0,0,0,Asylum 1972,291136
3474,0,0,0,0,0,Asylum 2008,19116
3475,0,0,0,0,0,Asylum 2008,377891
3476,0,0,0,0,0,Asylum 1997,208182
3477,0,0,0,0,0,Asylum 2013,201022
3478,0,0,0,0,0,Asylum 1992,429066
3479,0,0,0,0,0,Asylum 2003,244995
3480,0,0,0,0,0,Asylum 2007,532926
3481,0,0,0,0,0,Asylum 1970,547276
3482,0,0,0,0,0,Journey to the Center of the Earth 1988,122894
3483,0,0,0,0,0,Journey to the Center of the Earth 1977,28481
3484,0,0,0,0,0,Journey to the Center of the Earth 1998,525051
3485,0,0,0,0,0,Atlantis 1991,15466
3486,0,0,0,0,0,Atlantis 2008,112044
3487,0,0,0,0,0,Atlantis 2014,298437
3488,0,0,0,0,0,Atlantis 1996,377103
3489,0,0,0,0,0,Atlantis 1974,503540
3490,0,0,0,0,0,Atlantis 1990,361160
3491,0,0,0,0,0,Atonement 1970,333635
3492,0,0,0,0,0,Atonement 2005,506131
3493,0,0,0,0,0,The Aviator 2004,2567
3494,0,0,0,0,0,The Aviator 1929,523401
3495,0,0,0,0,0,Baby Love 1995,359586
3496,0,0,0,0,0,Baby Love 1997,52242
3497,0,0,0,0,0,Baby Love 1979,330477
3498,0,0,0,0,0,Baby Love 1974,564530
3499,0,0,0,0,0,Baby Love 2008,15435
3500,0,0,0,0,0,Baby Love 1984,38172
3501,0,0,0,0,0,Back Street 1973,481350
3502,0,0,0,0,0,Bad Girl 2016,405050
3503,0,0,0,0,0,Bad Girl 1963,279233
3504,0,0,0,0,0,Bad Girl 2012,144566
3505,0,0,0,0,0,Bad Girl 1991,370020
3506,0,0,0,0,0,Bad Girl 2011,482360
3507,0,0,0,0,0,The Bad Seed 2018,532814
3508,0,0,0,0,0,The Bait 2016,411679
3509,0,0,0,0,0,The Bait 2009,217848
3510,0,0,0,0,0,The Bait 1964,301489
3511,0,0,0,0,0,The Bait 1998,349504
3512,0,0,0,0,0,Battle Cry 2018,554614
3513,0,0,0,0,0,Battle Cry 1975,169916
3514,0,0,0,0,0,Battle Royale 2020,517557
3515,0,0,0,0,0,The Accused 1988,10868
3516,0,0,0,0,0,The Accused 2018,519223
3517,0,0,0,0,0,The Accused 1970,460652
3518,0,0,0,0,0,The Beach 1964,546702
3519,0,0,0,0,0,Beaches 2017,430642
3520,0,0,0,0,0,The Young Warriors 1966,297897
3521,0,0,0,0,0,The Beast 2018,549311
3522,0,0,0,0,0,The Beast Must Die 1974,40218
3523,0,0,0,0,0,The Beast Must Die 1952,421101
3524,0,0,0,0,0,This Man Must Die 1969,2527
3525,0,0,0,0,0,The Beast Within 1995,272873
3526,0,0,0,0,0,Beat the Devil 2002,51939
3527,0,0,0,0,0,Beautiful Creatures 2000,15940
3528,0,0,0,0,0,Bedelia 1930,166512
3529,0,0,0,0,0,Suspicion 2012,104059
3530,0,0,0,0,0,Suspicion 2015,356575
3531,0,0,0,0,0,Suspicion 1987,281241
3532,0,0,0,0,0,Suspicion 1982,335390
3533,0,0,0,0,0,Being There 2017,471638
3534,0,0,0,0,0,Being There 2011,79718
3535,0,0,0,0,0,Being There 1970,483504
3536,0,0,0,0,0,Bel Ami 1955,152732
3537,0,0,0,0,0,Bel Ami 1968,333135
3538,0,0,0,0,0,The Real McCoy 1999,392067
3539,0,0,0,0,0,The Real McCoy 1930,292660
3540,0,0,0,0,0,Beloved 1985,367580
3541,0,0,0,0,0,Beloved 1934,529359
3542,0,0,0,0,0,Beloved 2009,135128
3543,0,0,0,0,0,Ben-Hur 2016,271969
3544,0,0,0,0,0,Gasoline 2017,458249
3545,0,0,0,0,0,Beowulf 1999,5470
3546,0,0,0,0,0,Beowulf 1976,283222
3547,0,0,0,0,0,Berlin Alexanderplatz 1931,156318
3548,0,0,0,0,0,Don't Tell 2005,18219
3549,0,0,0,0,0,Don't Tell 2017,401157
3550,0,0,0,0,0,Human Desire 1919,513832
3551,0,0,0,0,0,Beyond This Place 2010,205140
3552,0,0,0,0,0,Poola Rangadu 2012,307784
3553,0,0,0,0,0,Poola Rangadu 2012,91833
3554,0,0,0,0,0,The Big Bounce 1970,397696
3555,0,0,0,0,0,The Big Bounce 1960,446349
3556,0,0,0,0,0,No Way Out 2008,204893
3557,0,0,0,0,0,No Way Out 1950,28433
3558,0,0,0,0,0,No Way Out 2015,343812
3559,0,0,0,0,0,No Way Out 2010,425608
3560,0,0,0,0,0,No Way Out 1970,563306
3561,0,0,0,0,0,Big Fish 2017,533460
3562,0,0,0,0,0,Big Fish 1970,581879
3563,0,0,0,0,0,The Big Heat 1988,104259
3564,0,0,0,0,0,The Big Sleep 2014,298310
3565,0,0,0,0,0,Big Trouble 1986,78041
3566,0,0,0,0,0,Black Angel 2002,30301
3567,0,0,0,0,0,Black Angel 1980,273879
3568,0,0,0,0,0,Black Angel 1998,51719
3569,0,0,0,0,0,The Black Arrow 1948,283921
3570,0,0,0,0,0,The Black Arrow 1985,256230
3571,0,0,0,0,0,Black Arrow 1944,402546
3572,0,0,0,0,0,Black Beauty 2015,331464
3573,0,0,0,0,0,Black Beauty 1970,526702
3574,0,0,0,0,0,Black Beauty 1987,114605
3575,0,0,0,0,0,Black Beauty 1987,219191
3576,0,0,0,0,0,Courage of Black Beauty 1957,246970
3577,0,0,0,0,0,Street of Chance 1930,169326
3578,0,0,0,0,0,The Chase 1994,10694
3579,0,0,0,0,0,The Chase 1966,31602
3580,0,0,0,0,0,The Chase 1991,220396
3581,0,0,0,0,0,The Chase 2017,488621
3582,0,0,0,0,0,The Chase 1974,234500
3583,0,0,0,0,0,The Chase 1971,542173
3584,0,0,0,0,0,The Chase 2012,279245
3585,0,0,0,0,0,The Black Rose 1965,292668
3586,0,0,0,0,0,Black Sunday 1960,27632
3587,0,0,0,0,0,Black Sunday 1926,344430
3588,0,0,0,0,0,The Deep End 2013,392150
3589,0,0,0,0,0,Bleak House 1926,357996
3590,0,0,0,0,0,Count Your Blessings 1987,120472
3591,0,0,0,0,0,Broken Arrow 1996,9208
3592,0,0,0,0,0,The Blood Oranges 1998,125958
