,BookTitle,BookYear,Author,FilmTitle,FilmYear,full name,tmdb_id
157,The Andromeda Strain,1969,Michael Crichton,The Andromeda Strain,1971,The Andromeda Strain 1971,10514
158,The Andromeda Strain,1969,Michael Crichton,The Andromeda Strain,2008,The Andromeda Strain 2008,0
159,Angel,1957,Elizabeth Taylor,Angel,2007,Angel 2007,11801
160,Angel Square,1987,Brian Doyle,Angel Square,1990,Angel Square 1990,0
161,Angélique,1957,Anne Golon,"Angélique, marquise des anges",1964,"Angélique, marquise des anges 1964",0
162,Angélique,1957,Anne Golon,Merveilleuse Angélique,1965,Merveilleuse Angélique 1965,0
163,Angélique,1957,Anne Golon,Angélique et le roy,1966,Angélique et le roy 1966,0
164,Angélique,1957,Anne Golon,Angélique et le roy,0,Angélique et le roy 0,0
165,Angélique,1957,Anne Golon,Indomptable Angélique [fr],1967,Indomptable Angélique [fr] 1967,0
166,Angélique,1957,Anne Golon,Angélique et le Sultan [fr],1968,Angélique et le Sultan [fr] 1968,0
167,Angels & Demons,2000,Dan Brown,Angels & Demons,2009,Angels & Demons 2009,13448
168,Anglo-Saxon Attitudes,1956,Angus Wilson,Anglo-Saxon Attitudes,1992,Anglo-Saxon Attitudes 1992,0
169,The Angry Hills,1955,Leon Uris,The Angry Hills,1959,The Angry Hills 1959,106017
170,Die Angst des Tormanns beim Elfmeter,1970,Peter Handke,The Goalkeeper's Fear of the Penalty,1972,The Goalkeeper's Fear of the Penalty 1972,0
171,Un animal doué de raison,1967,Robert Merle,The Day of the Dolphin,1973,The Day of the Dolphin 1973,42470
172,Animal Farm,1945,George Orwell,Animal Farm,1954,Animal Farm 1954,11848
173,Animal Farm,1945,George Orwell,Animal Farm,1999,Animal Farm 1999,815
174,Anna and the King of Siam,1944,Margaret Landon,Anna and the King of Siam,1946,Anna and the King of Siam 1946,43471
175,Anna and the King of Siam,1944,Margaret Landon,The King and I,1956,The King and I 1956,16520
176,Anna and the King of Siam,1944,Margaret Landon,The King and I,1999,The King and I 1999,47288
177,Anna and the King of Siam,1944,Margaret Landon,Anna and the King,1999,Anna and the King 1999,1439
178,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1914,Anna Karenina 1914,415439
179,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1915,Anna Karenina 1915,466561
