,BookTitle,BookYear,Author,FilmTitle,FilmYear,full name,tmdbid,year
117,All You Need Is Kill,2009,,Edge of Tomorrow,2014,Edge of Tomorrow 2014,137113,2014
118,Almayer's Folly,1895,Joseph Conrad,Hanyut,2011,Hanyut 2011,,
119,Almayer's Folly,1895,Joseph Conrad,Almayer's Folly,2011,Almayer's Folly 2011,86815,2011
120,Along Came a Spider,1993,James Patterson,Along Came a Spider,2001,Along Came a Spider 2001,2043,2001
121,Altered States,1978,Paddy Chayefsky,Altered States,1980,Altered States 1980,11542,1980
122,Always Another Dawn,1948,Zelma Roberts,Always Another Dawn,1948,Always Another Dawn 1948,,
123,"Always Outnumbered, Always Outgunned",1987,Walter Mosley,Always Outnumbered,1998,Always Outnumbered 1998,26622,1998
124,El Amante Bilingüe,1990,Juan Marsé,El Amante Bilingüe,1993,El Amante Bilingüe 1993,,
125,El Amateur,1990,,El Amateur,1999,El Amateur 1999,,
126,An American Dream,1965,Norman Mailer,An American Dream,1966,An American Dream 1966,131861,1966
127,American Knees,1995,Shawn Wong,Americanese,2006,Americanese 2006,214939,2006
128,American Psycho,1991,Bret Easton Ellis,American Psycho,2000,American Psycho 2000,1359,2000
129,American Psycho,1991,Bret Easton Ellis,American Psycho 2: All-American Girl,2002,American Psycho 2: All-American Girl 2002,,
130,American Splendor,1976,Harvey Pekar,American Splendor,2003,American Splendor 2003,2771,2003
131,An American Tragedy,1925,Theodore Dreiser,A Place in the Sun,1951,A Place in the Sun 1951,25673,1951
132,The Americanization of Emily,1959,William Bradford Huie,The Americanization of Emily,1964,The Americanization of Emily 1964,42791,1964
133,Amerika,1927,Franz Kafka,Klassenverhältnisse,0,Klassenverhältnisse 0,,
134,Amerika,1927,Franz Kafka,Class Relations,1984,Class Relations 1984,117479,1984
135,Amerika,1927,Franz Kafka,Intervista,1987,Intervista 1987,47715,1987
136,Amerika,1927,Franz Kafka,Amerika,1994,Amerika 1994,25901,1994
137,Les amitiés particulières,1943,Roger Peyrefitte,Les amitiés particulières,1964,Les amitiés particulières 1964,,
138,The Amityville Horror,1977,Jay Anson,The Amityville Horror,1979,The Amityville Horror 1979,11449,1979
139,The Amityville Horror,1977,Jay Anson,The Amityville Horror,2005,The Amityville Horror 2005,10065,2005
140,El Amor infiel,1970,Mario David,El Amor infiel,1974,El Amor infiel 1974,,
141,Amos Judd,1895,John Ames Mitchell,The Young Rajah,1922,The Young Rajah 1922,184267,1922
142,Amu,2005,Shonali Bose,Amu,2005,Amu 2005,25799,2005
143,La Anam,1969,Ihsan Abdel Quddous,La Anam,1957,La Anam 1957,,
144,Anatomy of a Murder,1958,John D. Voelker,Anatomy of a Murder,1959,Anatomy of a Murder 1959,93,1959
145,And Now Tomorrow,1942,Rachel Field,And Now Tomorrow,1944,And Now Tomorrow 1944,130411,1944
146,And Then There Were None,1939,Agatha Christie,And Then There Were None,1945,And Then There Were None 1945,4886,1945
147,And Then There Were None,1939,Agatha Christie,Ten Little Indians,1959,Ten Little Indians 1959,,
148,And Then There Were None,1939,Agatha Christie,Gumnaam,1965,Gumnaam 1965,82243,1965
149,And Then There Were None,1939,Agatha Christie,Ten Little Indians,1965,Ten Little Indians 1965,4879,1965
150,And Then There Were None,1939,Agatha Christie,Zehn kleine Negerlein,1969,Zehn kleine Negerlein 1969,297834,1969
151,And Then There Were None,1939,Agatha Christie,And Then There Were None,1974,And Then There Were None 1974,,
152,And Then There Were None,1939,Agatha Christie,Desyat Negrityat,1987,Desyat Negrityat 1987,,
153,And Then There Were None,1939,Agatha Christie,Ten Little Indians,1989,Ten Little Indians 1989,103761,1989
154,And Then There Were None,1939,Agatha Christie,Identity,2003,Identity 2003,2832,2003
155,The Anderson Tapes,1969,Lawrence Sanders,The Anderson Tapes,1971,The Anderson Tapes 1971,30941,1971
156,Andromeda: A Space-Age Tale,1957,Ivan Yefremov,The Andromeda Nebula,1967,The Andromeda Nebula 1967,,
157,The Andromeda Strain,1969,Michael Crichton,The Andromeda Strain,1971,The Andromeda Strain 1971,10514,1971
158,The Andromeda Strain,1969,Michael Crichton,The Andromeda Strain,2008,The Andromeda Strain 2008,,
159,Angel,1957,Elizabeth Taylor,Angel,2007,Angel 2007,11801,2007
160,Angel Square,1987,Brian Doyle,Angel Square,1990,Angel Square 1990,,
161,Angélique,1957,Anne Golon,"Angélique, marquise des anges",1964,"Angélique, marquise des anges 1964",,
162,Angélique,1957,Anne Golon,Merveilleuse Angélique,1965,Merveilleuse Angélique 1965,,
163,Angélique,1957,Anne Golon,Angélique et le roy,1966,Angélique et le roy 1966,,
164,Angélique,1957,Anne Golon,Angélique et le roy,0,Angélique et le roy 0,,
165,Angélique,1957,Anne Golon,Indomptable Angélique [fr],1967,Indomptable Angélique [fr] 1967,,
166,Angélique,1957,Anne Golon,Angélique et le Sultan [fr],1968,Angélique et le Sultan [fr] 1968,,
167,Angels & Demons,2000,Dan Brown,Angels & Demons,2009,Angels & Demons 2009,13448,2009
168,Anglo-Saxon Attitudes,1956,Angus Wilson,Anglo-Saxon Attitudes,1992,Anglo-Saxon Attitudes 1992,,
169,The Angry Hills,1955,Leon Uris,The Angry Hills,1959,The Angry Hills 1959,106017,1959
170,Die Angst des Tormanns beim Elfmeter,1970,Peter Handke,The Goalkeeper's Fear of the Penalty,1972,The Goalkeeper's Fear of the Penalty 1972,,
171,Un animal doué de raison,1967,Robert Merle,The Day of the Dolphin,1973,The Day of the Dolphin 1973,42470,1973
172,Animal Farm,1945,George Orwell,Animal Farm,1954,Animal Farm 1954,11848,1954
173,Animal Farm,1945,George Orwell,Animal Farm,1999,Animal Farm 1999,815,1999
174,Anna and the King of Siam,1944,Margaret Landon,Anna and the King of Siam,1946,Anna and the King of Siam 1946,43471,1946
175,Anna and the King of Siam,1944,Margaret Landon,The King and I,1956,The King and I 1956,16520,1956
176,Anna and the King of Siam,1944,Margaret Landon,The King and I,1999,The King and I 1999,47288,1999
177,Anna and the King of Siam,1944,Margaret Landon,Anna and the King,1999,Anna and the King 1999,1439,1999
178,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1914,Anna Karenina 1914,415439,1914
179,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1915,Anna Karenina 1915,466561,1915
