id_repeat,id,BookTitle,BookAltTitle,BookYear,BookLink,Author,FilmTitle,FilmLink,FilmYear,id_goodreads,isbn_goodreads,isbn13_goodreads,title_from_goodreads_match,author_from_goodreads_match,x,y,OK?,b
3198,3198,White Fang,,1906,/wiki/White_Fang,Jack London,White Fang,/wiki/White_Fang#Adaptations_-_Film_-_White_Fang_(1936_film),1936,5506983,1858137403,9.78E+12,,,FALSE,FALSE,OK isbn match,
3199,3199,White Fang,,1906,/wiki/White_Fang,Jack London,White Fang,"https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8B%D0%B9_%D0%9A%D0%BB%D1%8B%D0%BA_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1946)",1946,5506983,1858137403,9.78E+12,,,FALSE,FALSE,OK isbn match,
3200,3200,White Fang,,1906,/wiki/White_Fang,Jack London,White Fang,/wiki/White_Fang#Adaptations_-_Film_-_White_Fang_(1973_film),1973,5506983,1858137403,9.78E+12,,,FALSE,FALSE,OK isbn match,
3201,3201,White Fang,,1906,/wiki/White_Fang,Jack London,The Return of White Fang,/wiki/White_Fang#Adaptations_-_Film_-_The_Return_of_White_Fang_(1974),1974,5506983,1858137403,9.78E+12,,,FALSE,FALSE,OK isbn match,
3202,3202,White Fang,,1906,/wiki/White_Fang,Jack London,White Fang to the Rescue,/wiki/White_Fang#Adaptations_-_Film_-_White_Fang_to_the_Rescue_(1974),1974,5506983,1858137403,9.78E+12,,,FALSE,FALSE,OK isbn match,
3203,3203,White Fang,,1906,/wiki/White_Fang,Jack London,White Fang and the Gold Diggers,/wiki/White_Fang#Adaptations_-_Film_-_White_Fang_and_the_Gold_Diggers_(1974),1974,5506983,1858137403,9.78E+12,,,FALSE,FALSE,OK isbn match,
3204,3204,White Fang,,1906,/wiki/White_Fang,Jack London,White Fang and the Hunter,/wiki/White_Fang#Adaptations_-_Film_-_White_Fang_and_the_Hunter_(1975),1975,5506983,1858137403,9.78E+12,,,FALSE,FALSE,OK isbn match,
3205,3205,White Fang,,1906,/wiki/White_Fang,Jack London,White Fang,/wiki/White_Fang_(1991_film),1991,5506983,1858137403,9.78E+12,,,FALSE,FALSE,OK isbn match,
3206,3206,White Fang,,1906,/wiki/White_Fang,Jack London,White Fang 2: Myth of the White Wolf,/wiki/White_Fang_2:_Myth_of_the_White_Wolf,1994,5506983,1858137403,9.78E+12,,,FALSE,FALSE,OK isbn match,
3207,3207,White Fang,,1906,/wiki/White_Fang,Jack London,White Fang,/wiki/White_Fang#Adaptations_-_Film_-_White_Fang_(1991_animated_film),1991,5506983,1858137403,9.78E+12,,,FALSE,FALSE,OK isbn match,
3208,3208,White Fang,,1906,/wiki/White_Fang,Jack London,White Fang,/wiki/White_Fang#Adaptations_-_Film_-_White_Fang_(1997_film),1997,5506983,1858137403,9.78E+12,,,FALSE,FALSE,OK isbn match,
3212,3212,White Jazz,,1992,/wiki/White_Jazz,James Ellroy,White Jazz,/wiki/White_Jazz_(film),2012,541010,679414495,9.78E+12,,,FALSE,FALSE,OK isbn match,
3214,3214,Who Censored Roger Rabbit?,,1981,/wiki/Who_Censored_Roger_Rabbit%3F,Gary K. Wolf,Who Framed Roger Rabbit,/wiki/Who_Framed_Roger_Rabbit,1988,312490,312870019,9.78E+12,,,FALSE,FALSE,OK isbn match,
3219,3219,Wide Sargasso Sea,,1966,/wiki/Wide_Sargasso_Sea,Jean Rhys,Wide Sargasso Sea,/wiki/Wide_Sargasso_Sea_(1993_film),1993,889025,233958665,9.78E+12,,,FALSE,FALSE,OK isbn match,
3220,3220,A Widow for One Year,,1998,/wiki/A_Widow_for_One_Year,John Irving,The Door in the Floor,/wiki/The_Door_in_the_Floor,2004,1153178,375501371,9.78E+12,,,FALSE,FALSE,OK isbn match,
3257,3257,The Witches,,1983,/wiki/The_Witches_(book),Roald Dahl,The Witches,/wiki/The_Witches_(1990_film),1990,2020399,141322640,9.78E+12,,,FALSE,FALSE,OK isbn match,
3258,3258,The Witches of Eastwick,,1984,/wiki/The_Witches_of_Eastwick,John Updike,The Witches of Eastwick,/wiki/The_Witches_of_Eastwick_(film),1987,930056,394537602,9.78E+12,,,FALSE,FALSE,OK isbn match,
3269,3269,The Woman in Black,,1983,/wiki/The_Woman_in_Black,Susan Hill,The Woman in Black,/wiki/The_Woman_in_Black_(1989_film),1989,2029381,241109876,9.78E+12,,,FALSE,FALSE,OK isbn match,
3270,3270,The Woman in Black,,1983,/wiki/The_Woman_in_Black,Susan Hill,The Woman in Black,/wiki/The_Woman_in_Black_(2012_film),2012,2029381,241109876,9.78E+12,,,FALSE,FALSE,OK isbn match,
3283,3283,Wonder Boys,,1995,/wiki/Wonder_Boys,Michael Chabon,Wonder Boys,/wiki/Wonder_Boys_(film),2000,591227,679415882,9.78E+12,,,FALSE,FALSE,OK isbn match,
3284,3284,The Wonderful Country,,1952,/wiki/The_Wonderful_Country,"Thomas C. Lea, III",The Wonderful Country,/wiki/The_Wonderful_Country_(film),1952,1411806,875652611,9.78E+12,,,FALSE,FALSE,OK isbn match,
3319,3319,The World According to Garp,,1978,/wiki/The_World_According_to_Garp,John Irving,The World According to Garp,/wiki/The_World_According_to_Garp,1982,827966,525237704,9.78E+12,,,FALSE,FALSE,OK isbn match,
3324,3324,Wuthering Heights,,1847,/wiki/Wuthering_Heights,Emily BrontÃ«,Wuthering Heights,/wiki/Wuthering_Heights_(1939_film),1939,526390,486292568,9.78E+12,,,FALSE,FALSE,OK isbn match,
3325,3325,Wuthering Heights,,1847,/wiki/Wuthering_Heights,Emily BrontÃ«,Abismos de PasiÃ³n,/wiki/Wuthering_Heights_(1954_film),1954,526390,486292568,9.78E+12,,,FALSE,FALSE,OK isbn match,
3326,3326,Wuthering Heights,,1847,/wiki/Wuthering_Heights,Emily BrontÃ«,Wuthering Heights,/wiki/Wuthering_Heights_(1970_film),1970,526390,486292568,9.78E+12,,,FALSE,FALSE,OK isbn match,
3327,3327,Wuthering Heights,,1847,/wiki/Wuthering_Heights,Emily BrontÃ«,Emily BrontÃ«'s Wuthering Heights,/wiki/Emily_Bront%C3%AB%27s_Wuthering_Heights,1992,526390,486292568,9.78E+12,,,FALSE,FALSE,OK isbn match,
3328,3328,Wuthering Heights,,1847,/wiki/Wuthering_Heights,Emily BrontÃ«,Wuthering Heights,/wiki/Wuthering_Heights_(2003_film),2003,526390,486292568,9.78E+12,,,FALSE,FALSE,OK isbn match,
3329,3329,The Warriors,,1965,/wiki/The_Warriors_(Sol_Yurick_novel),Sol Yurick,The Warriors,/wiki/The_Warriors_(film),1979,762598,802139922,9.78E+12,,,FALSE,FALSE,OK isbn match,
3341,3341,Young Adam,,1957,/wiki/Young_Adam,Alexander Trocchi,Young Adam,/wiki/Young_Adam_(film),2003,1523171,862419050,9.78E+12,,,FALSE,FALSE,OK isbn match,
3347,3347,Zathura,,2002,/wiki/Zathura,Chris Van Allsburg,Zathura,/wiki/Zathura_(film),2005,55749,618253963,9.78E+12,,,FALSE,FALSE,OK isbn match,
7,7,The Accidental Tourist,,1985,/wiki/The_Accidental_Tourist,Anne Tyler,The Accidental Tourist,/wiki/The_Accidental_Tourist_(film),1988,60792,345452003,9.78E+12,The Accidental Tourist,Anne Tyler,titlematch,match,exact match both,
230,230,The Assassination of Jesse James by the Coward Robert Ford,,1983,/wiki/The_Assassination_of_Jesse_James_by_the_Coward_Robert_Ford_(novel),Ron Hansen,The Assassination of Jesse James by the Coward Robert Ford,/wiki/The_Assassination_of_Jesse_James_by_the_Coward_Robert_Ford,2007,320730,60976993,9.78E+12,The Assassination of Jesse James by the Coward Robert Ford,Ron Hansen,titlematch,match,exact match both,
295,295,The Beast Within,,1981,/wiki/The_Beast_Within_(novel),Edward Levy,The Beast Within,/wiki/The_Beast_Within,1982,314245,595149235,9.78E+12,The Beast Within,Edward Levy,titlematch,match,exact match both,
594,594,Charlotte's Web,,1952,/wiki/Charlotte%27s_Web,E. B. White,Charlotte's Web,/wiki/Charlotte%27s_Web_(1973_film),1973,24178,64410935,9.78E+12,Charlotte's Web,E.B. White,titlematch,FALSE,ok,
595,595,Charlotte's Web,,1952,/wiki/Charlotte%27s_Web,E. B. White,Charlotte's Web 2: Wilbur's Great Adventure,/wiki/Charlotte%27s_Web_2:_Wilbur%27s_Great_Adventure,2003,24178,64410935,9.78E+12,Charlotte's Web,E.B. White,titlematch,FALSE,ok,
